Element_Name;Alias
8102705001;8102705001 - HALKLA İLİŞKİLER DANIŞMANLIK GİDERİ
8102705002;8102705002 - HALKLA İLİŞKİLER  UYGULAMA HİZMETLERİ GİDERİ
8180101001;8180101001 - TV RADYO İLAN GİDERLERİ
8180102001;8180102001 - GAZETE DERGİ İLAN GİDERLERİ
8180103002;8180103002 - İNSERT İLAN GİDERLERİ
8180103003;8180103003 - INSERT KATALOG GİDERLERİ
8180103004;8180103004 - INSERT BROŞÜR GİDERLERİ
8180104002;8180104002 - PANKART PANO AFİŞ GİDERLERİ
8180104003;8180104003 - BILBOARD GİDERLERİ
8180104004;8180104004 - P.O.S. GİDERLERİ
8180105001;8180105001 - DİĞER REKLAM GİDERLERİ
8180105002;8180105002 - PAZARLAMA AJANSLARI
8180105003;8180105003 - İÇERİK ÜRETİMİ
8180105004;8180105004 - ATL - BTL AJANS
8180105005;8180105005 - DİJİTAL AJANS
8180105006;8180105006 - KOMİSYON GİDERLERİ
8180105007;8180105007 - PR DANIŞMANLIK
8180106001;8180106001 - SATIŞ,PAZARLAMA VE DAĞ. GİD - DİGİTAL PAZARLAMA
8180106002;8180106002 - SATIŞ,PAZARLAMA VE DAĞ. GİD - WEB PAZARLAMA
8180107001;8180107001 - CRM (MÜŞTERİ İLİŞKİLERİ YÖNETİMİ) GİDERLERİ
8180107002;8180107002 - SATIŞ, PAZARLAMA VE DAĞ. GİDERLERİ – HOPİ
8180107003;
8180107004;8180107004 - GİTTİ GİDİYOR
8180107005;
8180107006;
8180108001;8180108001 - PAZAR ARAŞTIRMALARI
8180108002;8180108002 - PERİYODİK PAZAR ARAŞTIRMALARI
8180108003;8180108003 - TEK SEFERLİK PAZAR ARAŞTIRMALARI
8180109001;8180109001 - KURUMSAL SOSYAL SORUMLULUK
8180600001;8180600001 - PAZARLAMA, YENİLEME GİDERİ
8180800001;8180800001 - MÜŞTERİ MEMNUNİYETİ GİDERLERİ
